"(Not in XML)
Page","(Represented in XML as 3-character strings with 0's padding the left)
ID",Label,Properties,REDCap Intake Field,Data transformation,Clinical Fellow Intake Label,Data Transformation
1,1,search_required?,Yes || No,search_report_status,"""Not Required"" || Null ? ""No"" : ""Yes""","const = ""No""",
1,2,search_portal_id,text,search_id,,,
1,3,search_exception?,Yes || No,search_report_status,"""Not Required"" || Null ? ""Yes"" : ""No""","const = ""Yes""",
1,4,search_exception_description,text,search_exception,"If trainee, then const, else return value",const = traineeDefault,
1,5,name_last,text,candidate_last_name,,Last Name,
1,6,name_first,text,candidate_first_name,,First Name,
1,7,name_middle,text,candidate_middle_name,,Middle Name,
1,8,dob,text (mm/dd/yyyy),dob,,Date of Birth,
1,9,huid,text,,,,
1,10,degree_1,text,degree_received_education1,,calculated,"If resident, then ""Degree Abbreviation"", else ""Medical Degree Abbreviation"""
1,11,degree_2,text,degree_received_education2,,,
1,12,degree_3,text,,,,
1,13,appointing_institution,text (MGH),"const = ""MGH""",,"const = ""MGH""",
1,14,location_primary,text (if not MGH),,,,
1,15,title_role,text (at MGH),mgh_[non]clinical_title,(appointment_type = 2) ? _nonclinical : _clinical,calculated,"If resident, then ""Resident"", else ""Clinical Fellow"""
2,16,proposed_rank,text (HMS Title),hms_,"whichever is not null: (_trainee, _fullltime, _parttime, _less_than...)","const = ""Clinical Fellow""",
2,17,proposed_department,text (Medicine),"const = ""Medicine""",,"const = ""Medicine""",
2,18,proposed_institution,text (MGH),"const = ""MGH""",,"const = ""MGH""",
2,19,time_commitment,"Full-time (works at least 4 days per week at HMS, HSDM or a primary affiliate of HMS) || Part-time (works at least 1, but less than 4, days per week at HMS, HSDM or a primary affiliate of HMS)",days_on_average_at_mgh,"""Greater than or..."" ? ""Full-time..."" : ""Part-time...""",const = fullTimeDefault,
2,20,proposed_start,text (HMS start date),start_date,,calculated,"If resident, then formDefault, else 7/1/(year+1)"
2,21,proposed_end,text (HMS end date),calculated,HMS title determines end date,const = 6/30/year+1,
2,22,proposed_supervisor,text,hms_faculty_mentor,,formDefault,
2,23,loc_1_type,"text (Affiliate, satellite site, offsite location)","const = ""Affiliate""",,"const = ""Affiliate""",
2,24,loc_2_type,"text (Affiliate, satellite site, offsite location)",,,,
2,25,loc_3_type,"text (Affiliate, satellite site, offsite location)",,,,
2,26,loc_4_type,"text (Affiliate, satellite site, offsite location)",,,,
2,27,loc_1_org(city_state),"text (MGH (Boston, MA))","const = ""MGH (Boston, MA)""",,"const = ""MGH (Boston, MA)""",
2,28,loc_2_org(city_state),"text (MGH (Boston, MA))",,,,
2,29,loc_3_org(city_state),"text (MGH (Boston, MA))",,,,
2,30,loc_4_org(city_state),"text (MGH (Boston, MA))",,,,
2,31,loc_1_days,text (#.#),days_at_location,,"const = ""5.0""",
2,32,loc_2_days,text (#.#),,,,
2,33,loc_3_days,text (#.#),,,,
2,34,loc_4_days,text (#.#),,,,
2,35,loc_1_title,text (Physician || Research Fellow || etc.),mgh_[non]clinical_title,,calculated,"If resident, then ""Resident"", else ""Clinical Fellow"""
2,36,loc_2_title,text (Physician || Research Fellow || etc.),,,,
2,37,loc_3_title,text (Physician || Research Fellow || etc.),,,,
2,38,loc_4_title,text (Physician || Research Fellow || etc.),,,,
2,39,appointment_rationale,"text (Library access required, etc.)","const = ""Appointment required for library access, participation in certain programs, and/or grant applications""",,"const = ""Appointment required for library access, participation in certain programs, and/or grant applications""",
3,40,academic_appts_outside_hms?,Yes || No,"const = ""No""",,"const = ""No""",
3,41,voting_appts_outside_hms?,Yes || No,,,,
3,42,degree_verified?,Yes || No,"const = ""Yes""",,"const = ""Yes""",
3,43,clinically_credentialed?,Yes || No || N/A,calculated,"(appointment_type = 2) ? ""N/A"" : ""Yes""","const = ""Yes""",
3,44,provided_policies?,Yes || No,"const = ""Yes""",,"const = ""Yes""",
3,45,visa_required?,Yes || No,citizenship_visa_status,"""Visa Required"" ? ""Yes"" : ""No""",Will you need a VISA?,
3,46,visa_1_type,text,visa_type_,(_if_required != Null) {(_other = Null) ? _if_required : _other},Current Visa Type,
3,47,visa_1_sponsor,text (MGH),"const = ""MGH""",Only add if (visa_type_ != Null),"const = ""MGH""",Only add if (visastatus = 1)
3,48,visa_1_start,text (date),visa_start,,Current Visa Start Date,
3,49,visa_1_end,text (date),visa_end,,Current Visa End Date,
3,50,visa_1_number,text,visa_id,,Current Visa ID Number,
3,51,visa_2_type,text,,,,
3,52,visa_2_sponsor,text (MGH),,,,
3,53,visa_2_start,text (date),,,,
3,54,visa_2_end,text (date),,,,
3,55,visa_2_number,text,,,,
3,56,faculty_is_trainee?,Yes || No,"const = ""No""",,,
3,57,trainee_role_ended?,Yes || No || N/A,"const = ""N/A""",,,
3,58,anticipated_teaching,text,const = GenericStatement,,,
4,59,edu_1_date,text (mm/yyyy),date_completed_education1,,calculated,"Medical School Attendance Dates || If resident, then ""Medical School Graduation Date"", else ""Medical End Date"""
4,60,edu_1_degree,text (abbreviation (honors)),degree1,,calculated,"If resident, then ""Degree Abbreviation"", else ""Medical Degree Abbreviation"""
4,61,edu_1_field,text (higher education major),degree1_major,,"const = ""Medicine""",
4,62,edu_1_institution,text (school name),name_of_institution_1,,Medical School Name,
4,63,edu_2_date,text (mm/yyyy),date_completed_education2,,,
4,64,edu_2_degree,text (abbreviation (honors)),degree2,,,
4,65,edu_2_field,text (higher education major),degree2_major,,,
4,66,edu_2_institution,text (school name),name_of_institution_2,,,
4,67,edu_3_date,text (mm/yyyy),,,,
4,68,edu_3_degree,text (abbreviation (honors)),,,,
4,69,edu_3_field,text (higher education major),,,,
4,70,edu_3_institution,text (school name),,,,
4,71,postdoc_1_date,text (mm/yyyy),"Only applicable to pre-existing faculty likely coming in for the occasional faculty appointment.  Leave interpreting CV to manual work.

Adding fields would be particularly useful for Cardiology, espeically Postdoctoral Training and Prior Faculty Academic Appointments.",,,
4,72,postdoc_1_title,text,,,,
4,73,postdoc_1_specialty,text,,,,
4,74,postdoc_1_institution,text,,,,
